id,query,source_category,source_document,llm_answer,llm_context_filepaths_top_3,embedding_latency_seconds,chroma_retrieval_latency_seconds,reranker_latency_seconds,llm_latency_seconds,overall_latency_seconds,pipeline_status,pipeline_error
27,What operational and client-service improvements has ABN AMRO achieved through its Infosys-led nCino lending platform implementation?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11082025152913_PR_11082025.md,"ABN AMRO has achieved several operational and client-service improvements through its implementation of the Infosys-led nCino lending platform, including:

1. **Operational Efficiency**: The nCino platform has streamlined the loan origination and collateral management processes by consolidating multiple legacy systems into a single, unified platform, which enhances operational efficiency.

2. **Improved Customer Onboarding**: The platform optimizes customer onboarding processes, allowing for a faster and more transparent experience for clients.

3. **Enhanced Collateral Management**: The implementation has improved ABN AMRO's capabilities in managing assets and collaterals, mitigating data quality issues.

4. **Regulatory Compliance**: The solution helps ensure compliance with regulatory requirements, which is crucial in the highly regulated banking industry.

5. **Data Quality and Migration**: The platform features robust data quality and migration capabilities, which have improved the overall quality of data management.

6. **Reduced Turnaround Time**: The implementation has led to a reduction in turnaround time for loan processing, enhancing the digital experience for customers.

Overall, these improvements position ABN AMRO for continued growth and transformation in its lending processes.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11082025152913_PR_11082025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_30052026200807_SE_Integrated_Annual_Report_2025-26/group_002.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_022.md,1.576,0.003,1.447,5.678,8.704,Success,
28,"What is the scope and duration of Infosys's strategic alliance with HanesBrands, and which Infosys platforms are being deployed to transform its IT landscape?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11092025173002_PR_11092025.md,"Infosys's strategic alliance with HanesBrands has a scope and duration of ten years. To transform HanesBrands' IT landscape, Infosys is deploying its proprietary platforms, including the Live Enterprise Automation Platform (LEAP) and the AI-first suite of services, solutions, and platforms integrated within Infosys Topaz.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11092025173002_PR_11092025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22072025173236_PR_22072025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_23062026172706_PR_23062026.md,0.388,0.015,1.309,3.724,5.436,Success,
29,For how many consecutive years has Infosys maintained a Leader position in Gartner's Magic Quadrant for Public Cloud IT Transformation Services?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11112025110410_PR_11112025.md,Infosys has maintained a Leader position in Gartner's Magic Quadrant for Public Cloud IT Transformation Services for three consecutive years.,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11112025110410_PR_11112025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_10032026130708_PR_10032026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_25032026153613_PR_25032026_2.md,2.241,0.011,1.432,3.671,7.356,Success,
30,"What is the strategic purpose behind Infosys and ExxonMobil collaborating on immersion cooling technology, and how will Infosys Topaz and Cobalt support the initiative?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_12022026153113_PR_12022026.md,"The strategic purpose behind Infosys and ExxonMobil collaborating on immersion cooling technology is to enhance energy efficiency and maximize the use of available power in data centers, addressing the growing demands of AI and High-Performance Computing (HPC) workloads. This initiative aligns with Infosys' commitment to energy innovation, decarbonization, and cross-industry alliances.

Infosys Topaz will support the initiative by enabling real-time optimization of cooling operations, ensuring smarter energy use, predictive maintenance, and the development of scalable, reliable, and sustainable infrastructure. Infosys Cobalt will provide a secure and scalable foundation for deploying these solutions across cloud and data center environments, ensuring seamless integration and operational excellence for enterprise clients. Together, these technologies aim to reduce data center energy costs and carbon emissions while empowering enterprises to scale responsibly in an AI-powered future.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_12022026153113_PR_12022026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_16062026152949_PR_16062026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_07042026171157_PR_07042026.md,0.685,0.006,1.435,2.975,5.101,Success,
31,"What stake in Versent Group is Infosys acquiring through its joint venture with Telstra in Australia, and what regulatory approvals are required?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_13082025191426_BM_Outcome_July132025.md,Infosys is acquiring a 75% stake in Versent Group through its joint venture with Telstra in Australia. The acquisition is subject to regulatory approvals and customary closing adjustments.,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_13082025191426_BM_Outcome_July132025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_067.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_19032026223214_SEfiling_Reg30disclosure_19032026.md,5.006,0.017,1.349,3.641,10.013,Success,
32,What consideration is Infosys paying for the 75% stake in Telstra Purple as part of the Australia joint venture announced at the July 2025 board meeting?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_13082025191426_BM_Outcome_July132025.md,"Infosys is paying up to AUD 233 million (approximately ₹1,335 crore) for the 75% stake in Telstra Purple as part of the joint venture announced at the August 13, 2025 board meeting. This amount excludes retention bonuses and management incentives.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_13082025191426_BM_Outcome_July132025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_16102025160458_BM_Outcome_Oct162025/group_007.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_14012026160405_BM_Outcome_January142026/group_086.md,5.002,0.010,1.452,2.055,8.521,Success,
33,"According to Infosys research, what share of enterprises anticipate heightened risk from agentic AI, and how many companies currently have robust responsible AI safeguards in place?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14082025152800_PR_14082025.md,"According to Infosys research, 86% of enterprises anticipate heightened risks from agentic AI, while only 2% of companies currently have robust responsible AI safeguards in place.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14082025152800_PR_14082025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_01072025210240_Form20F_July012025_1__1_/group_005.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_006.md,1.056,0.007,1.513,2.909,5.486,Success,
34,What financial losses and reputational damage from AI-related incidents does the Infosys research report document?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14082025152800_PR_14082025.md,"The Infosys research report documents that 77% of organizations reported financial losses due to AI-related incidents, while 53% experienced reputational damage. The report highlights a significant gap between AI adoption and responsible AI readiness, with 95% of enterprises facing incidents and 39% of executives characterizing the damage from these incidents as ""severe"" or ""extremely severe."" Only 2% of companies have adequate responsible AI controls in place to mitigate these risks.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14082025152800_PR_14082025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_01072025210240_Form20F_July012025_1__1_/group_010.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_15062026210015_Form20F_June152026/group_010.md,0.920,0.010,2.337,2.740,6.009,Success,
35,"What legacy NHS payroll and workforce management system is Infosys's Future NHS Workforce Solution designed to replace, and how many employees will it serve?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14102025142305_PR_14102025.md,Infosys's Future NHS Workforce Solution is designed to replace the legacy NHS payroll and workforce management system known as the Electronic Staff Record (ESR). It will serve 1.9 million NHS employees in England and Wales.,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14102025142305_PR_14102025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_14012026160405_BM_Outcome_January142026/group_015.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q2-press-conference/group_002.md,0.693,0.007,1.484,2.825,5.010,Success,
36,How is Infosys using AI and data analytics through its global brand ambassador partnership with Carlos Alcaraz?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_15042026160716_PR_15042026.md,"Infosys is leveraging AI and data analytics through its partnership with Carlos Alcaraz by developing an AI-powered match analytics and personalized performance application. This initiative aims to enhance Alcaraz's match preparation and in-game strategy, utilizing Infosys Topaz, which incorporates generative and agentic AI technologies. The collaboration not only focuses on improving Alcaraz's performance on the court but also extends to social impact initiatives through the Carlos Alcaraz Foundation, emphasizing the use of technology for community benefit.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_15042026160716_PR_15042026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03032026152329_PR_03032026.md | data/yfinance/clean-mds/Infosys Limited (INFY) Partners with Sentara To Enable AI Integration and Use in Hospitals.md,0.911,0.007,1.559,2.529,5.007,Success,
37,What does the joint Infosys and MIT Technology Review report conclude about the role of leadership culture and psychological safety in enterprise AI adoption?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_16122025201456_PR_16122025.md,"The joint Infosys and MIT Technology Review report concludes that leadership culture and psychological safety are critical for the successful adoption of enterprise AI. It highlights that 83% of business leaders believe psychological safety directly impacts AI initiative success, emphasizing the need for a culture of trust, transparency, and a ""safe to fail"" environment. The report indicates that fear of failure and unclear communication can hinder employee engagement with AI projects, suggesting that effective leadership behaviors and clear messaging about AI's capabilities are essential for fostering psychological safety. Overall, the findings stress that scaling AI is as much about building a supportive culture as it is about technological deployment.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_16122025201456_PR_16122025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_006.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22042026160213_PR_April222026_signed.md,0.914,0.007,1.423,2.663,5.006,Success,
38,"What capabilities does Infosys's AI-first GCC Model offer, and how does it position the company in the growing Global Capability Center market?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_17112025151923_PR_17112025.md,"Infosys's AI-first GCC Model offers several key capabilities that position the company strongly in the growing Global Capability Center (GCC) market:

1. **End-to-End Setup and Transformation**: It provides comprehensive lifecycle management for GCCs, including strategy development, site selection, entity setup, recruitment, and operational launch.

2. **AI-Powered Innovation**: The model embeds enterprise AI capabilities across GCC operations, enhancing cost efficiency, accelerating time-to-market, and creating new business opportunities.

3. **Future-Ready Talent**: Infosys utilizes its Springboard digital learning platform and extensive corporate university infrastructure to ensure a sustainable pipeline of skilled talent tailored to enterprise needs.

4. **Right-Fit Operating Models**: It offers various operational models such as Build-Operate-Transfer (BOT), assisted builds, joint ventures, and partner-hosted models to suit different client requirements.

By leveraging these capabilities, Infosys transforms GCCs into innovation hubs that drive agility and competitive advantage, thereby solidifying its position in the expanding GCC market. The model is designed to help enterprises reimagine their GCCs as strategic assets that foster innovation and growth in an AI-driven landscape.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_17112025151923_PR_17112025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_19012026222220_SEfiling_Earningscalltranscript_19012026/group_003.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_15062026210015_Form20F_June152026/group_023.md,0.975,0.006,1.592,4.849,7.423,Success,
39,How is Infosys deploying generative AI and which Infosys platforms are being used in its IT and HR transformation engagement with AGCO?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22072025173236_PR_22072025.md,"Infosys is deploying generative AI in its IT and HR transformation engagement with AGCO by utilizing generative AI for knowledge management, problem analysis, categorization, and incident resolution. The platforms being used in this engagement include Infosys Cobalt, which encompasses best-in-class offerings like Infosys Polycloud for IT infrastructure operations, and Infosys Topaz, an AI-first set of services, solutions, and platforms that leverage generative AI technologies. This collaboration aims to enhance AGCO's operational framework, improve user experience, and drive efficiency in HR operations.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22072025173236_PR_22072025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_07012026105753_PR_07012026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_23062026172706_PR_23062026.md,0.880,0.006,1.477,2.497,4.860,Success,
40,What capabilities led GlobalFoundries to select Infosys for its expanded AI-driven IT operations transformation engagement?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_23062026172706_PR_23062026.md,"GlobalFoundries selected Infosys for its expanded AI-driven IT operations transformation engagement due to Infosys' proven track record as an incumbent technology provider and its deep semiconductor domain expertise. The collaboration aims to elevate GF's IT operations by transitioning to a managed services model driven by AI, automation, and continuous optimization, which aligns with GF's goals of modernizing IT operations and enhancing efficiency, resilience, and user experience.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_23062026172706_PR_23062026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_17112025151923_PR_17112025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_15062026210015_Form20F_June152026/group_022.md,1.947,0.009,1.430,1.993,5.379,Success,
41,"How does Infosys describe what sets the current AI transition apart from previous technology shifts, and why does this make enterprise modernization more urgent?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_001.md,"Infosys describes the current AI transition as distinct from previous technology shifts due to its unprecedented speed and the fundamental changes it necessitates in business operations. Unlike earlier transitions, which primarily altered technology layers or interfaces, the AI transition requires comprehensive changes across business processes, customer journeys, talent management, operating models, and technology architecture. This urgency for enterprise modernization is driven by the need to address accumulated technology debt, as many organizations still rely on outdated systems that hinder agility and innovation. The rapid adoption of AI tools and the increasing demand for modernization make it imperative for enterprises to update their legacy systems to leverage AI effectively and maintain competitiveness.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_17022026111455_SEfiling_InvestorAIday/group_001.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_07042026171157_PR_07042026.md,2.422,0.008,1.513,3.484,7.426,Success,
42,"What proportion of Infosys's top 200 clients were receiving AI services as reported at Investor AI Day 2026, and what are the six areas of the company's AI value framework?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_003.md,"At Investor AI Day 2026, Infosys reported that 90% of its top 200 clients were receiving AI services. The six areas of the company's AI value framework are:

1. AI strategy and engineering
2. Data for AI
3. Process
4. Legacy modernization
5. Physical AI
6. AI trust",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_003.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_015.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_29052026201312_Infosys_Integrated_Annual_Report_2025-26/group_001.md,1.206,0.008,1.437,2.356,5.007,Success,
43,"How is Infosys splitting AI productivity gains between itself and its clients, and what does that sharing arrangement imply for future margin trajectory?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_002.md,"Infosys is sharing AI productivity gains with its clients, typically passing on benefits ranging from 5% to 15% in AI programs involving disparate systems. This sharing arrangement implies that while Infosys is experiencing improved revenue quality and productivity, it also faces challenges in maintaining margins due to factors such as compensation increases and currency impacts. The company aims to improve margins over the medium to long term, despite current headwinds, indicating a cautious but optimistic outlook for future margin trajectory.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_002.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-press-conference/group_002.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-press-conference/group_002.md,0.459,0.006,1.500,3.040,5.005,Success,
44,"What factors have driven Infosys's stronger growth in Europe, and how sustainable does management consider that momentum to be?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_002.md,"Infosys's stronger growth in Europe has been driven by several factors, including robust performance in the manufacturing sector, particularly due to AI-related growth among companies in power solutions and engineering services. Additionally, the financial services sector has seen a good set of deals, with expectations of AI traction supporting better outcomes. The company is also expanding its programs to serve smaller clients, which are growing well.

Management considers this momentum to be sustainable, citing ongoing activity across multiple AI-related areas and the expectation of continued demand in the next financial year and beyond. However, they acknowledge that the macroeconomic environment remains uncertain, with clients in a wait-and-watch mode regarding discretionary spending, which could impact future growth.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_005.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_19012026222220_SEfiling_Earningscalltranscript_19012026/group_003.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_003.md,1.747,0.006,1.711,4.552,8.019,Success,
45,"What is Infosys management's view on enterprise technology spending trends in calendar year 2026, and how is AI adoption evolving across its client base?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_19012026222220_SEfiling_Earningscalltranscript_19012026/group_002.md,"Infosys management has a positive outlook on enterprise technology spending trends for calendar year 2026, particularly in the Financial Services and Energy sectors, where they are seeing strong discretionary spending and traction. They anticipate continued growth beyond the current financial year, although they are looking for similar traction in other industries.

Regarding AI adoption, Infosys reports that large enterprise clients are actively engaging in AI initiatives, with implementations involving substantial delivery teams rather than just theoretical opportunities. The company sees a significant expansion opportunity in AI services, estimated at $300 billion to $400 billion, and emphasizes the importance of execution and innovation in differentiating their offerings in the competitive landscape.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_19012026222220_SEfiling_Earningscalltranscript_19012026/group_002.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_015.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_001.md,0.380,0.011,1.493,5.107,6.994,Success,
46,What was the total value of large deals Infosys won during fiscal year 2024–25 as reported at the 44th Annual General Meeting?,NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_02072025225219_SEfiling_AGMtranscript_2025/group_003.md,"The total value of large deals Infosys won during fiscal year 2024–25, as reported at the 44th Annual General Meeting, was $14.9 billion.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_14012026160405_BM_Outcome_January142026/group_014.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_021.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23072025153626_Outcome23072025/group_010.md,1.273,0.007,1.551,2.179,5.012,Success,
47,What specific healthcare technology capabilities is Infosys gaining through the Board-approved acquisition of Optimum Healthcare IT?,NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_25032026221610_BM_Outcome_March252026/group_001.md,"Through the acquisition of Optimum Healthcare IT, Infosys is gaining specific healthcare technology capabilities that include:

- Health record advisory, implementation, and support
- Enterprise Application Services
- Digital Transformation
- Workforce Management
- Optimum CareerPath®, a skill development program

Additionally, the acquisition enhances Infosys' ability to support AI-powered cloud and digital transformation initiatives for healthcare providers, leveraging Optimum's provider-domain expertise and delivery model focused on large-scale clinical and operational transformation.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_25032026221610_BM_Outcome_March252026/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_25032026221610_BM_Outcome_March252026/group_002.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_05052026084802_PR_05052026.md,2.195,0.007,1.401,2.747,6.350,Success,
48,"What are the six categories of new AI-driven services opportunity that Infosys outlined at its Investor AI Day, and how large is that addressable market?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_17022026111455_SEfiling_InvestorAIday/group_002.md,"The six categories of new AI-driven services opportunity outlined by Infosys at its Investor AI Day are:

1. **AI Strategy and Engineering**
2. **Data for AI**
3. **Process AI**
4. **Legacy Modernization**
5. **Physical AI**
6. **AI Trust**

The addressable market for these opportunities is estimated to be between **$300 billion and $400 billion** by 2030.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_015.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_003.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_17022026175524_PR_17022026_2.md,1.241,0.006,1.502,2.361,5.111,Success,
49,What were the key financial and operational highlights Infosys management presented at the 45th Annual General Meeting for fiscal year 2026?,NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_30062026163341_SE_Infosys_45th_AGM_transcript/group_003.md,"At the 45th Annual General Meeting for fiscal year 2026, Infosys management presented the following key financial and operational highlights:

1. **Revenue**: ₹1,78,650 crore (over US$20 billion), up 9.6% year over year, with a constant currency growth of 3.1%.
2. **Net Profit**: ₹29,440 crore, an increase from the previous year.
3. **Basic Earnings Per Share**: ₹71.58, up 11.0% year over year.
4. **Dividend**: A final dividend of ₹25 per equity share was proposed, with a total dividend of ₹48.0 per share for the year, up 11.6% year over year.
5. **Free Cash Flow**: ₹33,097 crore, with a conversion rate of 112.3% of net profit.
6. **Operating Margin**: Adjusted operating margin of 21.0%.
7. **Market Capitalization**: ₹5,07,192 crore.
8. **Large Deal Total Contract Value**: US$14.9 billion, with net new business representing 55%.
9. **Client Growth**: 88 clients with revenues exceeding US$50 million, an increase of 3 clients year over year.
10. **Sustainability Initiatives**: 84% of office space certified with the highest green building rating and 81.8% of India operations powered by renewable energy.

Additionally, Infosys emphasized its commitment to AI transformation, reporting that approximately 5.5% of revenue came from AI services, which was growing rapidly. The company also highlighted its strong balance sheet, remaining debt-free while returning significant capital to shareholders.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_30052026201240_SE_Integrated_Annual_Report_2025-26/group_156.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_30052026200807_SE_Integrated_Annual_Report_2025-26/group_004.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_30062026163341_SE_Infosys_45th_AGM_transcript/group_003.md,0.967,0.004,2.181,5.700,8.853,Success,
50,"How is AI-related revenue growth offsetting compression in Infosys's traditional IT services, and which AI deal types are most prominent in the pipeline?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_003.md,"AI-related revenue growth is helping Infosys offset compression in its traditional IT services by focusing on three key growth areas: AI services, large deals, and expanding into clients where it has a smaller presence. The company is investing in AI and targeting large companies, which allows it to meet client demands for AI-driven productivity improvements. The Topaz Fabric enhances visibility into achievable outcomes, facilitating immediate application of technology and operations deals.

In the pipeline, prominent AI deal types include AI agents for bank KYC and AML processes, AI applications in credit, and the use of foundation models for legacy modernization. These AI-driven initiatives are generating new work and accelerating growth in the financial services sector, despite some compression in traditional services. Overall, the growth from AI services is currently larger than the revenue compression caused by productivity improvements.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_003.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_005.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_008.md,0.461,0.007,1.490,2.747,4.708,Success,
