id,query,source_category,source_document,llm_answer,llm_context_filepaths_top_3,embedding_latency_seconds,chroma_retrieval_latency_seconds,reranker_latency_seconds,llm_latency_seconds,overall_latency_seconds,pipeline_status,pipeline_error
27,What operational and client-service improvements has ABN AMRO achieved through its Infosys-led nCino lending platform implementation?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11082025152913_PR_11082025.md,"ABN AMRO has achieved several operational and client-service improvements through its implementation of the Infosys-led nCino lending platform, including:

1. **Operational Efficiency**: The nCino platform has streamlined the loan origination and collateral management processes by consolidating multiple legacy systems into a single, unified platform, which enhances operational workflows.

2. **Improved Customer Onboarding**: The platform optimizes customer onboarding processes, making it faster and more efficient.

3. **Enhanced Data Quality**: The implementation has mitigated data quality issues, ensuring more reliable information management.

4. **Regulatory Compliance**: The platform helps ensure compliance with regulatory requirements, which is crucial in the banking sector.

5. **Faster and Transparent Experience**: Customers benefit from a quicker and more transparent lending process, improving their overall experience.

6. **Flexibility for Future Needs**: The cloud-native, configurable solution allows for adaptability to future business requirements.

Overall, these improvements contribute to ABN AMRO's goal of enhancing customer experiences while driving operational efficiencies.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11082025152913_PR_11082025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_02062026152845_PR_02062026_2.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_022.md,1.615,0.008,0.000,4.998,6.621,Success,
28,"What is the scope and duration of Infosys's strategic alliance with HanesBrands, and which Infosys platforms are being deployed to transform its IT landscape?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11092025173002_PR_11092025.md,"Infosys's strategic alliance with HanesBrands has a scope and duration of ten years. The platforms being deployed to transform HanesBrands' IT landscape include the Live Enterprise Automation Platform (LEAP) and Infosys Topaz, which is an AI-first suite of services, solutions, and platforms.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11092025173002_PR_11092025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_23062026172706_PR_23062026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22072025173236_PR_22072025.md,0.357,0.009,0.000,3.759,4.125,Success,
29,For how many consecutive years has Infosys maintained a Leader position in Gartner's Magic Quadrant for Public Cloud IT Transformation Services?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11112025110410_PR_11112025.md,Infosys has maintained a Leader position in Gartner's Magic Quadrant for Public Cloud IT Transformation Services for three consecutive years.,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11112025110410_PR_11112025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_25032026153613_PR_25032026_2.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_08082025160923_PR_08082025.md,0.827,0.010,0.000,1.274,2.112,Success,
30,"What is the strategic purpose behind Infosys and ExxonMobil collaborating on immersion cooling technology, and how will Infosys Topaz and Cobalt support the initiative?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_12022026153113_PR_12022026.md,"The strategic purpose behind Infosys and ExxonMobil collaborating on immersion cooling technology is to enhance energy efficiency and maximize the use of available power in digital infrastructure, particularly for AI and High-Performance Computing (HPC) workloads. This initiative aligns with Infosys' commitment to energy innovation, decarbonization, and cross-industry alliances.

Infosys Topaz will support the initiative by enabling real-time optimization of cooling operations, ensuring smarter energy use, predictive maintenance, and the development of scalable, reliable, and sustainable infrastructure. Meanwhile, Infosys Cobalt will provide a secure and scalable foundation for deploying these solutions across cloud and data center environments, ensuring seamless integration and operational excellence for enterprise clients. Together, these technologies aim to reduce data center energy costs and carbon emissions while supporting the demands of an AI-powered future.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_12022026153113_PR_12022026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_16062026152949_PR_16062026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_07012026155529_PR_07012026_2.md,0.359,0.008,0.000,5.705,6.073,Success,
31,"What stake in Versent Group is Infosys acquiring through its joint venture with Telstra in Australia, and what regulatory approvals are required?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_13082025191426_BM_Outcome_July132025.md,Infosys is acquiring a 75% stake in Versent Group through its joint venture with Telstra in Australia. The acquisition is subject to regulatory approvals and customary closing adjustments.,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_13082025191426_BM_Outcome_July132025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_067.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_21072025094039_PR_21072025.md,0.893,0.015,0.000,1.794,2.704,Success,
32,What consideration is Infosys paying for the 75% stake in Telstra Purple as part of the Australia joint venture announced at the July 2025 board meeting?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_13082025191426_BM_Outcome_July132025.md,"Infosys is paying up to AUD 233 million for the 75% stake in Telstra Purple as part of the joint venture announced at the August 13, 2025 board meeting.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_13082025191426_BM_Outcome_July132025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_21072025094039_PR_21072025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_16102025160458_BM_Outcome_Oct162025/group_007.md,0.874,0.005,0.000,1.229,2.109,Success,
33,"According to Infosys research, what share of enterprises anticipate heightened risk from agentic AI, and how many companies currently have robust responsible AI safeguards in place?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14082025152800_PR_14082025.md,"According to Infosys research, 86% of enterprises anticipate heightened risks from agentic AI, while only 2% of companies currently have robust responsible AI safeguards in place.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14082025152800_PR_14082025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_006.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q32-earningscall/group_002.md,1.313,0.008,0.000,2.220,3.542,Success,
34,What financial losses and reputational damage from AI-related incidents does the Infosys research report document?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14082025152800_PR_14082025.md,"The Infosys research report documents that AI-related incidents can lead to significant financial losses and reputational damage in several ways:

1. **Investment Costs**: Infosys incurs substantial costs in developing AI capabilities. If these investments do not yield successful outcomes, the company may be unable to recoup these costs, adversely affecting its financial performance.

2. **Regulatory Compliance**: The evolving regulatory landscape surrounding AI may require additional investments to ensure compliance. Non-compliance or perceived breaches could result in investigations, regulatory inquiries, litigation, and fines, further harming the company's financial standing and reputation.

3. **Market Competition**: The competitive nature of the AI market means that failure to develop effective AI solutions could hinder Infosys's ability to compete, impacting its revenues and market position.

4. **Reputational Risks**: Negative media coverage or public scrutiny related to AI technologies could damage Infosys's reputation, divert management's attention, and reduce investor confidence, potentially leading to a decline in the prices of its equity shares and ADSs.

5. **Operational Disruptions**: Challenges in integrating AI technologies or adapting to market changes could disrupt ongoing business operations, distract management, and increase expenses, further affecting financial results.

Overall, these factors highlight the potential for AI-related incidents to cause both financial losses and reputational harm to Infosys.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_01072025210240_Form20F_July012025_1__1_/group_012.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_15062026210015_Form20F_June152026/group_006.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_01072025210240_Form20F_July012025_1__1_/group_005.md,1.875,0.009,0.000,7.478,9.364,Success,
35,"What legacy NHS payroll and workforce management system is Infosys's Future NHS Workforce Solution designed to replace, and how many employees will it serve?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14102025142305_PR_14102025.md,Infosys's Future NHS Workforce Solution is designed to replace the legacy NHS payroll and workforce management system known as the Electronic Staff Record (ESR). It will serve 1.9 million NHS employees in England and Wales.,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14102025142305_PR_14102025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_29052026202126_Infosys_Integrated_Annual_Report_2025-26/group_035.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_003.md,2.106,0.011,0.000,1.410,3.528,Success,
36,How is Infosys using AI and data analytics through its global brand ambassador partnership with Carlos Alcaraz?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_15042026160716_PR_15042026.md,"Infosys is leveraging AI and data analytics through its partnership with Carlos Alcaraz by developing an AI-powered match analytics and personalized performance application. This collaboration aims to enhance Alcaraz's match preparation and in-game strategy, utilizing Infosys Topaz, an AI-first offering. Additionally, the partnership extends to joint initiatives with the Carlos Alcaraz Foundation, focusing on tech-for-good initiatives to drive social impact. This partnership reflects Infosys' commitment to transforming tennis through AI and digital innovation, aiming to elevate the sport and its global community.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_15042026160716_PR_15042026.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_013.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_014.md,1.019,0.006,0.000,2.286,3.314,Success,
37,What does the joint Infosys and MIT Technology Review report conclude about the role of leadership culture and psychological safety in enterprise AI adoption?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_16122025201456_PR_16122025.md,"The joint Infosys and MIT Technology Review report concludes that leadership culture and psychological safety are critical for the successful adoption of enterprise AI. It highlights that 83% of business leaders believe psychological safety directly impacts AI initiative success, emphasizing the need for a culture of trust, transparency, and a ""safe to fail"" environment. The report indicates that fear of failure and unclear communication can hinder employee engagement with AI projects, suggesting that effective leadership behaviors and clear messaging about AI's capabilities are essential for fostering psychological safety and driving innovation in AI adoption.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_16122025201456_PR_16122025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14082025152800_PR_14082025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11062026162328_PR_11062026_2.md,0.673,0.009,0.000,2.487,3.171,Success,
38,"What capabilities does Infosys's AI-first GCC Model offer, and how does it position the company in the growing Global Capability Center market?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_17112025151923_PR_17112025.md,"Infosys's AI-first GCC Model offers several key capabilities that position the company strongly in the growing Global Capability Center (GCC) market:

1. **End-to-End Setup and Transformation**: It provides comprehensive lifecycle management for GCCs, including strategy development, site selection, recruitment, and operational launch.

2. **AI-Powered Innovation**: The model embeds enterprise AI capabilities across GCC operations, enhancing cost efficiency, accelerating time-to-market, and creating new business opportunities.

3. **Future-Ready Talent**: Infosys utilizes its Springboard digital learning platform and extensive corporate university infrastructure to ensure a sustainable pipeline of skilled talent tailored to enterprise needs.

4. **Right-Fit Operating Models**: It offers flexible options such as Build-Operate-Transfer (BOT), assisted builds, joint ventures, and partner-hosted models to suit different client requirements.

By leveraging its expertise in AI and a proven track record with over 100 GCC engagements, Infosys positions itself as a leader in transforming GCCs into innovation hubs that drive growth and competitive advantage in an AI-first world. This strategic approach enables clients to reimagine their GCCs as vital assets for innovation and agility.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_17112025151923_PR_17112025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_19012026222220_SEfiling_Earningscalltranscript_19012026/group_003.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_004.md,0.407,0.007,0.000,6.095,6.510,Success,
39,How is Infosys deploying generative AI and which Infosys platforms are being used in its IT and HR transformation engagement with AGCO?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22072025173236_PR_22072025.md,"Infosys is deploying generative AI in its IT and HR transformation engagement with AGCO by utilizing generative AI technologies for knowledge management, problem analysis, categorization, and incident resolution. The specific platforms being used in this engagement are Infosys Topaz, which is an AI-first set of services, solutions, and platforms, and Infosys Cobalt, which includes offerings like Infosys Polycloud for IT infrastructure operations. These tools aim to enhance user experience, streamline processes, and drive efficiency within AGCO's operations.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22072025173236_PR_22072025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_07012026105753_PR_07012026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22042026160213_PR_April222026_signed.md,2.069,0.005,0.000,3.337,5.414,Success,
40,What capabilities led GlobalFoundries to select Infosys for its expanded AI-driven IT operations transformation engagement?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_23062026172706_PR_23062026.md,"GlobalFoundries selected Infosys for its expanded AI-driven IT operations transformation engagement due to Infosys' proven track record as an incumbent technology provider and its deep semiconductor domain expertise. The collaboration aims to transition GF's IT operations to a managed services model driven by AI, automation, and continuous optimization, enhancing efficiency, resilience, and user experience. Infosys' capabilities in AI-led managed services and its ability to unlock AI value at scale were key factors in this decision.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_23062026172706_PR_23062026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_17112025151923_PR_17112025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22072025173236_PR_22072025.md,1.281,0.004,0.000,3.657,4.942,Success,
41,"How does Infosys describe what sets the current AI transition apart from previous technology shifts, and why does this make enterprise modernization more urgent?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_001.md,"Infosys describes the current AI transition as distinct from previous technology shifts due to its unprecedented speed and the fundamental changes it necessitates in business operations. Unlike earlier transitions, which primarily altered the front-end user experience or shifted applications to the cloud, AI requires comprehensive changes to business processes, customer journeys, talent management, operating models, and technology architecture. This urgency for enterprise modernization is heightened by the need to address accumulated technology debt from legacy systems, which can hinder innovation and pose security risks. As enterprises strive to leverage AI effectively, they must modernize their infrastructures to remain competitive and responsive to evolving market demands.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_012.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22042026160213_PR_April222026_signed.md,0.433,0.006,0.000,3.820,4.259,Success,
42,"What proportion of Infosys's top 200 clients were receiving AI services as reported at Investor AI Day 2026, and what are the six areas of the company's AI value framework?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_003.md,"At Investor AI Day 2026, it was reported that 90% of Infosys's top 200 clients were receiving AI services. The six areas of the company's AI value framework are:

1. **AI Strategy and Engineering**
2. **Data for AI**
3. **Process AI**
4. **Agentic Legacy Modernization**
5. **Physical AI**
6. **AI Trust**",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_003.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_17022026175524_PR_17022026_2.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_17022026111455_SEfiling_InvestorAIday/group_002.md,0.530,0.007,0.000,1.598,2.137,Success,
43,"How is Infosys splitting AI productivity gains between itself and its clients, and what does that sharing arrangement imply for future margin trajectory?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_002.md,"Infosys is sharing AI productivity gains with its clients, typically passing on benefits ranging from 5% to 15% in AI programs involving disparate systems. This sharing arrangement implies that while Infosys is experiencing improved revenue quality and productivity, it also faces challenges in maintaining margins due to factors such as compensation increases and currency impacts. The overall margin trajectory may be influenced by the balance of these shared productivity gains and the company's ability to manage costs and pricing effectively in a competitive environment.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_002.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-press-conference/group_002.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_009.md,1.768,0.008,0.000,3.677,5.455,Success,
44,"What factors have driven Infosys's stronger growth in Europe, and how sustainable does management consider that momentum to be?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_002.md,"Infosys's stronger growth in Europe has been driven by several factors, including significant investments in various European countries, a focus on transformation and cost-efficiency services, and a strong pipeline of large deals. The company has noted that clients in Europe are increasingly prioritizing cost optimization, automation, and AI-driven efficiency improvements. Additionally, sectors such as Financial Services and Manufacturing have shown good pipeline traction, contributing to this growth.

Management considers the momentum in Europe to be sustainable, as they continue to see substantial interest in AI projects and a strong large-deal pipeline focused on cost efficiency and automation. However, they also acknowledge the broader global economic uncertainties, which could impact future growth.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_005.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_003.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_002.md,1.315,0.006,0.000,3.121,4.447,Success,
45,"What is Infosys management's view on enterprise technology spending trends in calendar year 2026, and how is AI adoption evolving across its client base?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_19012026222220_SEfiling_Earningscalltranscript_19012026/group_002.md,"Infosys management anticipates significant enterprise technology spending trends in 2026, particularly in the realm of AI, with an estimated expansion opportunity of $300 billion to $400 billion across six defined areas. They report substantial client interest in enterprise AI initiatives, with active implementations rather than theoretical opportunities. AI adoption is evolving positively across their client base, with every client discussion now incorporating AI, and many projects transitioning from pilot phases to production. Management emphasizes a balance between growth-oriented AI services and cost-oriented productivity improvements, indicating that growth currently exceeds compression in service delivery.",data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-press-conference/group_004.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_015.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_007.md,1.874,0.004,0.000,2.211,4.093,Success,
46,What was the total value of large deals Infosys won during fiscal year 2024–25 as reported at the 44th Annual General Meeting?,NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_02072025225219_SEfiling_AGMtranscript_2025/group_003.md,The total value of large deals Infosys won during fiscal year 2024–25 was reported as $11.6 billion at the 44th Annual General Meeting.,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-ifrs-inr-press-release/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_02072025225219_SEfiling_AGMtranscript_2025/group_003.md | data/trendlyne/clean-mds/Info-RR-24042026-24-April-2026-1656297533.md,0.509,0.006,0.000,1.586,2.103,Success,
47,What specific healthcare technology capabilities is Infosys gaining through the Board-approved acquisition of Optimum Healthcare IT?,NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_25032026221610_BM_Outcome_March252026/group_001.md,"Through the acquisition of Optimum Healthcare IT, Infosys is gaining specific healthcare technology capabilities that include:

- Health record advisory, implementation, and support
- Enterprise Application Services
- Digital Transformation
- Workforce Management
- Optimum CareerPath®, a skill development program

Additionally, the acquisition enhances Infosys' ability to deliver AI-powered, large-scale cloud and data transformation initiatives for healthcare providers, leveraging its existing offerings such as Infosys Topaz and Infosys Cobalt. This integration aims to improve patient experiences through data-driven, personalized care while optimizing operational efficiency and costs.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_05052026084802_PR_05052026.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_25032026221610_BM_Outcome_March252026/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_25032026221610_BM_Outcome_March252026/group_002.md,0.492,0.007,0.000,2.574,3.075,Success,
48,"What are the six categories of new AI-driven services opportunity that Infosys outlined at its Investor AI Day, and how large is that addressable market?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_17022026111455_SEfiling_InvestorAIday/group_002.md,"The six categories of new AI-driven services opportunity outlined by Infosys at its Investor AI Day are:

1. **AI Strategy and Engineering**
2. **Data for AI**
3. **Process AI**
4. **Legacy Modernization**
5. **Physical AI**
6. **AI Trust**

The addressable market for these opportunities is estimated to reach between **$300 billion and $400 billion by 2030**.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_003.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_015.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_17022026111455_SEfiling_InvestorAIday/group_002.md,1.151,0.004,0.000,3.323,4.478,Success,
49,What were the key financial and operational highlights Infosys management presented at the 45th Annual General Meeting for fiscal year 2026?,NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_30062026163341_SE_Infosys_45th_AGM_transcript/group_003.md,"At the 45th Annual General Meeting for fiscal year 2026, Infosys management presented the following key financial and operational highlights:

1. **Revenue**: Crossed the $20 billion mark, with FY26 revenues of $20,158 million, reflecting a 3.1% growth in constant currency.
2. **Operating Margin**: Reported IFRS operating margin was 20.3%, with an adjusted operating margin of 21.0%.
3. **Earnings Per Share (EPS)**: Basic EPS grew by 11.0% in rupee terms, reaching ₹71.58.
4. **Free Cash Flow**: Total free cash flow was $3,733 million, with a conversion rate of 112.3% of net profit.
5. **Large Deals**: Total contract value for large deals was $14.9 billion, with 55% classified as net new business.
6. **Quarterly Performance**: Q4 FY26 revenues were $5,040 million, up 4.1% year over year in constant currency, with an operating margin of 20.9%.
7. **Client Growth**: The number of clients generating over $50 million increased to 88.
8. **Sustainability**: 84% of office space was certified with the highest green building rating, and 81.8% of India operations were powered by renewable energy.

The management emphasized a focus on AI services, disciplined execution, and financial resilience, alongside a proposed final dividend of ₹25 per share.",data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-ifrs-inr-press-release/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_30052026200807_SE_Integrated_Annual_Report_2025-26/group_004.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_02072025225219_SEfiling_AGMtranscript_2025/group_003.md,0.573,0.008,0.000,5.180,5.763,Success,
50,"How is AI-related revenue growth offsetting compression in Infosys's traditional IT services, and which AI deal types are most prominent in the pipeline?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_003.md,"AI-related revenue growth is helping to offset compression in Infosys's traditional IT services by focusing on three key growth areas: AI services, large deals, and expansion into clients where Infosys has a smaller presence. The company is investing in AI and leveraging its capabilities to meet client demands for productivity improvements, which are often tied to larger, multi-year deals. 

The most prominent AI deal types in the pipeline include those that focus exclusively on AI, as well as deals where AI is integrated across various services. This approach allows Infosys to enhance productivity while managing client expectations for AI-driven benefits, thereby balancing the compression from traditional services with growth from AI initiatives.",data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_005.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_003.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_19012026222220_SEfiling_Earningscalltranscript_19012026/group_008.md,0.439,0.005,0.000,3.176,3.621,Success,
