id,question,source_category,source_document,llm_answer,llm_context_filepaths_top_3,reference_answer,faithfulness,answer_relevancy,context_precision,context_recall,evaluation_status,evaluation_error
23,"What operational improvements does Infosys's AI Agent bring to energy sector clients, and which Infosys and Microsoft technologies power it?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_06112025152733_PR_06112025.md,"Infosys's AI Agent enhances operations for energy sector clients by automating reports, boosting operational efficiency, and providing actionable insights for better decision-making. It intelligently processes various reports and offers predictive insights to anticipate operational challenges, leading to improved safety, reliability, and reduced non-productive time.

The AI Agent is powered by Infosys Topaz, Infosys Cobalt, and Microsoft's technologies, including Microsoft Copilot Studio, Azure OpenAI in Foundry Models, and ChatGPT4o.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_06112025152733_PR_06112025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_010.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_009.md,"Infosys's AI Agent brings operational improvements to energy sector clients by automating reports, boosting operational efficiency, enhancing decision-making through actionable recommendations, providing predictive insights, and offering early warnings to anticipate real-time operational challenges. It is powered by Infosys Topaz, Infosys Cobalt, and Microsoft's AI and cloud capabilities, including Microsoft Copilot Studio, Azure OpenAI in Foundry Models, and ChatGPT4o.",1.0000,0.9037,1.0000,1.0000,Success,
24,What business and performance benefits is Bank CTBC Indonesia gaining from Infosys Finacle's digital banking suite deployed on cloud?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_09092025102824_PR_09092025.md,"Bank CTBC Indonesia is gaining several business and performance benefits from the deployment of Infosys Finacle's digital banking suite on cloud:

1. **Scalability**: The cloud-hosted model allows the bank to scale effortlessly to meet growing business demands.
2. **Faster Innovation**: The bank can deliver innovations and new products faster, ensuring a shorter time-to-market.
3. **Operational Efficiency**: The modernization has improved operational efficiency, particularly with a reported over 300% reduction in bulk processing time.
4. **Enhanced Customer Experience**: The Finacle Customer Data Hub provides a unified view of customer data, enabling hyper-personalization of services.
5. **Cost Reduction**: The deployment has led to a reduced total cost of ownership (TCO).
6. **Security and Flexibility**: The cloud-native solution offers secure and scalable flexibility, positioning the bank to deliver an industry-leading digital banking platform.

Overall, these benefits align with the bank's broader strategy of driving digital innovation and operational excellence.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_09092025102824_PR_09092025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_25032026105841_PR_25032026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_20082025093726_PR_20082025.md,"Bank CTBC Indonesia is gaining several business and performance benefits from the deployment of Infosys Finacle's digital banking suite on cloud, including:

- Effortless scalability to meet growing business demands and faster delivery of innovations, resulting in shorter time-to-market for new products and services.
- Improved operational efficiency and enhanced customer experience.
- Accelerated new feature releases and rapid innovation while maintaining robust security.
- A unified, 360-degree view of customer data through the Finacle Customer Data Hub, enabling hyper-personalization of services and seamless third-party integration.
- Transformative performance gains, including over 300% reduction in bulk processing time, which significantly enhances operational efficiency and reduces total cost of ownership (TCO).",1.0000,0.9622,1.0000,1.0000,Success,
25,"How does Infosys Topaz integrate with Salesforce's agentic AI capabilities in the new Customer Experience Suite, and what customer processes does it automate?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_10102025153819_PR_10102025.md,"Infosys Topaz integrates with Salesforce's agentic AI capabilities within the new Customer Experience Suite by leveraging AI-first services to enhance customer interactions and automate various processes. Specifically, it automates service inquiries, sales tasks, and employee support, enabling enterprises to streamline these customer processes. The integration allows for personalized, context-aware experiences and supports real-time decision-making, ultimately enhancing efficiency across sales, services, and marketing channels.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_10102025153819_PR_10102025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_03112025145757_PR_03112025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_006.md,"Infosys Topaz integrates with Salesforce's agentic AI capabilities to help enterprises navigate their agentic transformation and scale their digital workforce. It automates customer interaction processes such as service inquiries, sales tasks, and employee support, enhancing personalization and delivering tailored, context-aware experiences. The solutions streamline workflows, boost efficiency, and support immediate decision-making in sales, services, and marketing channels.",1.0000,0.9311,1.0000,1.0000,Success,
26,"What lending workflows has Infosys modernized for ABN AMRO using the nCino platform, and how many legacy records were migrated?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11082025152913_PR_11082025.md,"Infosys has modernized ABN AMRO's loan origination and collateral management processes using the nCino platform. They migrated over 100,000 legacy records from multiple systems during this implementation.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11082025152913_PR_11082025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_02062026152845_PR_02062026_2.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_022.md,"Infosys has modernized ABN AMRO's loan origination and collateral management workflows using the nCino platform and migrated over 100,000 records from multiple legacy systems.",1.0000,0.8330,1.0000,1.0000,Success,
27,What operational and client-service improvements has ABN AMRO achieved through its Infosys-led nCino lending platform implementation?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11082025152913_PR_11082025.md,"ABN AMRO has achieved several operational and client-service improvements through its implementation of the Infosys-led nCino lending platform, including:

1. **Operational Efficiency**: The nCino platform has streamlined the loan origination and collateral management processes by consolidating multiple legacy systems into a single, unified platform, which enhances operational workflows.

2. **Improved Customer Onboarding**: The platform optimizes customer onboarding processes, making it faster and more efficient.

3. **Enhanced Data Quality**: The implementation has mitigated data quality issues, ensuring more reliable information management.

4. **Regulatory Compliance**: The platform helps ensure compliance with regulatory requirements, which is crucial in the banking sector.

5. **Faster and Transparent Experience**: Customers benefit from a quicker and more transparent lending process, improving their overall experience.

6. **Flexibility for Future Needs**: The cloud-native, configurable solution allows for adaptability to future business requirements.

Overall, these improvements contribute to ABN AMRO's goal of enhancing customer experiences while driving operational efficiencies.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11082025152913_PR_11082025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_02062026152845_PR_02062026_2.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_022.md,"ABN AMRO has achieved operational and client-service improvements through the nCino lending platform implementation by consolidating multiple legacy systems into a single platform, enhancing customer onboarding and loan origination processes, improving operational efficiency, and ensuring regulatory compliance. The platform also mitigates data quality issues and provides a faster, more transparent experience for customers. Additionally, it has optimized processes, improved data quality, and reduced turnaround time.",0.7333,0.8830,1.0000,0.6667,Success,
28,"What is the scope and duration of Infosys's strategic alliance with HanesBrands, and which Infosys platforms are being deployed to transform its IT landscape?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11092025173002_PR_11092025.md,"Infosys's strategic alliance with HanesBrands has a scope and duration of ten years. The platforms being deployed to transform HanesBrands' IT landscape include the Live Enterprise Automation Platform (LEAP) and Infosys Topaz, which is an AI-first suite of services, solutions, and platforms.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11092025173002_PR_11092025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_23062026172706_PR_23062026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22072025173236_PR_22072025.md,"Infosys's strategic alliance with HanesBrands has a scope of ten years, covering digital, business applications, and data transformation. The platforms being deployed to transform its IT landscape include the Live Enterprise Automation Platform (LEAP), integrated within Infosys Topaz, which utilizes AI-first technologies to support modernization, automation, AIOps, and operational efficiency.",1.0000,0.9293,1.0000,1.0000,Success,
29,For how many consecutive years has Infosys maintained a Leader position in Gartner's Magic Quadrant for Public Cloud IT Transformation Services?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11112025110410_PR_11112025.md,Infosys has maintained a Leader position in Gartner's Magic Quadrant for Public Cloud IT Transformation Services for three consecutive years.,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11112025110410_PR_11112025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_25032026153613_PR_25032026_2.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_08082025160923_PR_08082025.md,three consecutive years,1.0000,0.9405,1.0000,1.0000,Success,
30,"What is the strategic purpose behind Infosys and ExxonMobil collaborating on immersion cooling technology, and how will Infosys Topaz and Cobalt support the initiative?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_12022026153113_PR_12022026.md,"The strategic purpose behind Infosys and ExxonMobil collaborating on immersion cooling technology is to enhance energy efficiency and maximize the use of available power in digital infrastructure, particularly for AI and High-Performance Computing (HPC) workloads. This initiative aligns with Infosys' commitment to energy innovation, decarbonization, and cross-industry alliances.

Infosys Topaz will support the initiative by enabling real-time optimization of cooling operations, ensuring smarter energy use, predictive maintenance, and the development of scalable, reliable, and sustainable infrastructure. Meanwhile, Infosys Cobalt will provide a secure and scalable foundation for deploying these solutions across cloud and data center environments, ensuring seamless integration and operational excellence for enterprise clients. Together, these technologies aim to reduce data center energy costs and carbon emissions while supporting the demands of an AI-powered future.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_12022026153113_PR_12022026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_16062026152949_PR_16062026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_07012026155529_PR_07012026_2.md,"The strategic purpose behind Infosys and ExxonMobil collaborating on immersion cooling technology is to develop and deploy ExxonMobil Data Center Immersion Fluids to enhance energy efficiency and maximize the use of available power for AI and high-performance computing infrastructure. Infosys Topaz will support the initiative by enabling real-time optimization of cooling operations, ensuring smarter energy use, predictive maintenance, and scalable, reliable, and sustainable infrastructure. Infosys Cobalt will provide a secure, scalable foundation for the deployment of these solutions across cloud and data center environments, ensuring seamless integration and operational excellence for enterprise clients.",1.0000,0.9254,1.0000,1.0000,Success,
31,"What stake in Versent Group is Infosys acquiring through its joint venture with Telstra in Australia, and what regulatory approvals are required?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_13082025191426_BM_Outcome_July132025.md,Infosys is acquiring a 75% stake in Versent Group through its joint venture with Telstra in Australia. The acquisition is subject to regulatory approvals and customary closing adjustments.,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_13082025191426_BM_Outcome_July132025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_067.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_21072025094039_PR_21072025.md,Infosys is acquiring a 75% shareholding in Versent Group through its joint venture with Telstra in Australia. The regulatory approvals required for the acquisition include approval from the Foreign Investment Review Board of Australia and the Australian Competition and Consumer Commission.,1.0000,0.7551,1.0000,1.0000,Success,
32,What consideration is Infosys paying for the 75% stake in Telstra Purple as part of the Australia joint venture announced at the July 2025 board meeting?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_13082025191426_BM_Outcome_July132025.md,"Infosys is paying up to AUD 233 million for the 75% stake in Telstra Purple as part of the joint venture announced at the August 13, 2025 board meeting.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_13082025191426_BM_Outcome_July132025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_21072025094039_PR_21072025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_16102025160458_BM_Outcome_Oct162025/group_007.md,"AUD 233.25 million for 75% stake, including upfront and deferred consideration, including earnouts; excluding management incentives and retention bonus.",1.0000,0.8978,0.8333,1.0000,Success,
33,"According to Infosys research, what share of enterprises anticipate heightened risk from agentic AI, and how many companies currently have robust responsible AI safeguards in place?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14082025152800_PR_14082025.md,"According to Infosys research, 86% of enterprises anticipate heightened risks from agentic AI, while only 2% of companies currently have robust responsible AI safeguards in place.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14082025152800_PR_14082025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_006.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q32-earningscall/group_002.md,"86% of enterprises anticipate heightened risks from agentic AI, yet only 2% of companies have robust responsible AI safeguards in place.",1.0000,0.8432,1.0000,1.0000,Success,
34,What financial losses and reputational damage from AI-related incidents does the Infosys research report document?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14082025152800_PR_14082025.md,"The Infosys research report documents that AI-related incidents can lead to significant financial losses and reputational damage in several ways:

1. **Investment Costs**: Infosys incurs substantial costs in developing AI capabilities. If these investments do not yield successful outcomes, the company may be unable to recoup these costs, adversely affecting its financial performance.

2. **Regulatory Compliance**: The evolving regulatory landscape surrounding AI may require additional investments to ensure compliance. Non-compliance or perceived breaches could result in investigations, regulatory inquiries, litigation, and fines, further harming the company's financial standing and reputation.

3. **Market Competition**: The competitive nature of the AI market means that failure to develop effective AI solutions could hinder Infosys's ability to compete, impacting its revenues and market position.

4. **Reputational Risks**: Negative media coverage or public scrutiny related to AI technologies could damage Infosys's reputation, divert management's attention, and reduce investor confidence, potentially leading to a decline in the prices of its equity shares and ADSs.

5. **Operational Disruptions**: Challenges in integrating AI technologies or adapting to market changes could disrupt ongoing business operations, distract management, and increase expenses, further affecting financial results.

Overall, these factors highlight the potential for AI-related incidents to cause both financial losses and reputational harm to Infosys.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_01072025210240_Form20F_July012025_1__1_/group_012.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_15062026210015_Form20F_June152026/group_006.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_01072025210240_Form20F_July012025_1__1_/group_005.md,"77% of organizations reported financial loss, and 53% of organizations have suffered reputational impact from AI-related incidents.",0.9375,0.9175,0.8333,0.0000,Success,
35,"What legacy NHS payroll and workforce management system is Infosys's Future NHS Workforce Solution designed to replace, and how many employees will it serve?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14102025142305_PR_14102025.md,Infosys's Future NHS Workforce Solution is designed to replace the legacy NHS payroll and workforce management system known as the Electronic Staff Record (ESR). It will serve 1.9 million NHS employees in England and Wales.,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14102025142305_PR_14102025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_29052026202126_Infosys_Integrated_Annual_Report_2025-26/group_035.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_003.md,The Future NHS Workforce Solution is designed to replace the current Electronic Staff Record (ESR) system and will serve 1.9 million NHS employees in England and Wales.,1.0000,0.8646,1.0000,1.0000,Success,
36,How is Infosys using AI and data analytics through its global brand ambassador partnership with Carlos Alcaraz?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_15042026160716_PR_15042026.md,"Infosys is leveraging AI and data analytics through its partnership with Carlos Alcaraz by developing an AI-powered match analytics and personalized performance application. This collaboration aims to enhance Alcaraz's match preparation and in-game strategy, utilizing Infosys Topaz, an AI-first offering. Additionally, the partnership extends to joint initiatives with the Carlos Alcaraz Foundation, focusing on tech-for-good initiatives to drive social impact. This partnership reflects Infosys' commitment to transforming tennis through AI and digital innovation, aiming to elevate the sport and its global community.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_15042026160716_PR_15042026.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_013.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_014.md,"Infosys is using AI and data analytics through its partnership with Carlos Alcaraz by developing AI-powered match analytics and a personalized performance application to aid match preparation and in-game strategy. This collaboration leverages Infosys Topaz, an AI-first offering powered by generative and agentic AI technologies. Additionally, the partnership includes joint initiatives with the Carlos Alcaraz Foundation to leverage technology for social impact.",1.0000,0.8944,1.0000,1.0000,Success,
37,What does the joint Infosys and MIT Technology Review report conclude about the role of leadership culture and psychological safety in enterprise AI adoption?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_16122025201456_PR_16122025.md,"The joint Infosys and MIT Technology Review report concludes that leadership culture and psychological safety are critical for the successful adoption of enterprise AI. It highlights that 83% of business leaders believe psychological safety directly impacts AI initiative success, emphasizing the need for a culture of trust, transparency, and a ""safe to fail"" environment. The report indicates that fear of failure and unclear communication can hinder employee engagement with AI projects, suggesting that effective leadership behaviors and clear messaging about AI's capabilities are essential for fostering psychological safety and driving innovation in AI adoption.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_16122025201456_PR_16122025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_14082025152800_PR_14082025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_11062026162328_PR_11062026_2.md,"The joint Infosys and MIT Technology Review report concludes that psychological safety is critical for the success of enterprise AI initiatives, with 83 percent of business leaders believing it directly impacts success. The report emphasizes that a culture of trust, transparency, and a ""safe to fail"" environment are essential for scaling AI initiatives. It highlights that fear of failure and unclear communication are significant barriers to AI adoption, and achieving psychological safety requires explicit messaging about AI's capabilities and limits. Leadership communication and behaviors are identified as crucial for fostering psychological safety, which in turn drives innovation and meaningful business outcomes.",1.0000,0.7896,1.0000,1.0000,Success,
38,"What capabilities does Infosys's AI-first GCC Model offer, and how does it position the company in the growing Global Capability Center market?",NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_17112025151923_PR_17112025.md,"Infosys's AI-first GCC Model offers several key capabilities that position the company strongly in the growing Global Capability Center (GCC) market:

1. **End-to-End Setup and Transformation**: It provides comprehensive lifecycle management for GCCs, including strategy development, site selection, recruitment, and operational launch.

2. **AI-Powered Innovation**: The model embeds enterprise AI capabilities across GCC operations, enhancing cost efficiency, accelerating time-to-market, and creating new business opportunities.

3. **Future-Ready Talent**: Infosys utilizes its Springboard digital learning platform and extensive corporate university infrastructure to ensure a sustainable pipeline of skilled talent tailored to enterprise needs.

4. **Right-Fit Operating Models**: It offers flexible options such as Build-Operate-Transfer (BOT), assisted builds, joint ventures, and partner-hosted models to suit different client requirements.

By leveraging its expertise in AI and a proven track record with over 100 GCC engagements, Infosys positions itself as a leader in transforming GCCs into innovation hubs that drive growth and competitive advantage in an AI-first world. This strategic approach enables clients to reimagine their GCCs as vital assets for innovation and agility.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_17112025151923_PR_17112025.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_19012026222220_SEfiling_Earningscalltranscript_19012026/group_003.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_004.md,"Infosys's AI-first GCC Model offers capabilities such as end-to-end setup and transformation of Global Capability Centers (GCCs), AI-powered innovation, future-ready talent development, and right-fit operating models. It positions the company in the growing Global Capability Center market by leveraging its expertise in AI and technology partnerships to support enterprises in transforming their GCCs into strategic innovation hubs, thereby enhancing agility and competitive advantage.",1.0000,0.8978,1.0000,1.0000,Success,
39,How is Infosys deploying generative AI and which Infosys platforms are being used in its IT and HR transformation engagement with AGCO?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22072025173236_PR_22072025.md,"Infosys is deploying generative AI in its IT and HR transformation engagement with AGCO by utilizing generative AI technologies for knowledge management, problem analysis, categorization, and incident resolution. The specific platforms being used in this engagement are Infosys Topaz, which is an AI-first set of services, solutions, and platforms, and Infosys Cobalt, which includes offerings like Infosys Polycloud for IT infrastructure operations. These tools aim to enhance user experience, streamline processes, and drive efficiency within AGCO's operations.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22072025173236_PR_22072025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_07012026105753_PR_07012026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22042026160213_PR_April222026_signed.md,"Infosys is deploying generative AI in AGCO's operations transformation to simplify AGCO's operations and realize cost efficiencies. This includes using generative AI for knowledge management, problem analysis, categorization, and incident resolution. The platforms being used in this engagement are Infosys Cobalt, which includes Infosys Polycloud for IT infrastructure operations, and Infosys Topaz, an AI-first set of services, solutions, and platforms utilizing generative AI technologies.",0.8333,0.9271,1.0000,1.0000,Success,
40,What capabilities led GlobalFoundries to select Infosys for its expanded AI-driven IT operations transformation engagement?,NSE <=10,data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_23062026172706_PR_23062026.md,"GlobalFoundries selected Infosys for its expanded AI-driven IT operations transformation engagement due to Infosys' proven track record as an incumbent technology provider and its deep semiconductor domain expertise. The collaboration aims to transition GF's IT operations to a managed services model driven by AI, automation, and continuous optimization, enhancing efficiency, resilience, and user experience. Infosys' capabilities in AI-led managed services and its ability to unlock AI value at scale were key factors in this decision.",data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_23062026172706_PR_23062026.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_17112025151923_PR_17112025.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22072025173236_PR_22072025.md,GlobalFoundries selected Infosys for its expanded AI-driven IT operations transformation engagement due to Infosys' proven track record as an incumbent technology provider and its deep semiconductor domain expertise.,0.8000,0.9401,1.0000,1.0000,Success,
41,"How does Infosys describe what sets the current AI transition apart from previous technology shifts, and why does this make enterprise modernization more urgent?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_001.md,"Infosys describes the current AI transition as distinct from previous technology shifts due to its unprecedented speed and the fundamental changes it necessitates in business operations. Unlike earlier transitions, which primarily altered the front-end user experience or shifted applications to the cloud, AI requires comprehensive changes to business processes, customer journeys, talent management, operating models, and technology architecture. This urgency for enterprise modernization is heightened by the need to address accumulated technology debt from legacy systems, which can hinder innovation and pose security risks. As enterprises strive to leverage AI effectively, they must modernize their infrastructures to remain competitive and responsive to evolving market demands.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_012.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_22042026160213_PR_April222026_signed.md,"The current AI transition is set apart from previous technology shifts by its unprecedented speed and the fundamental changes it necessitates in business operations. Unlike earlier transitions, which primarily altered how applications were accessed or deployed, AI requires comprehensive changes to business processes, customer journeys, talent, operating models, and technology architecture. This urgency for enterprise modernization is driven by the need to address accumulated legacy technology debt, as many large enterprises are still reliant on outdated systems. Additionally, the rapid pace of AI adoption, with AI reaching 1 billion users in just a couple of years compared to over a decade for the internet, emphasizes the necessity for enterprises to modernize quickly to leverage AI effectively and mitigate security risks associated with legacy systems.",0.7500,0.8169,1.0000,1.0000,Success,
42,"What proportion of Infosys's top 200 clients were receiving AI services as reported at Investor AI Day 2026, and what are the six areas of the company's AI value framework?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_003.md,"At Investor AI Day 2026, it was reported that 90% of Infosys's top 200 clients were receiving AI services. The six areas of the company's AI value framework are:

1. **AI Strategy and Engineering**
2. **Data for AI**
3. **Process AI**
4. **Agentic Legacy Modernization**
5. **Physical AI**
6. **AI Trust**",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_003.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_17022026175524_PR_17022026_2.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_17022026111455_SEfiling_InvestorAIday/group_002.md,"90% of Infosys's top 200 clients were receiving AI services. The six areas of the company's AI value framework are:

1. AI strategy and engineering
2. Data for AI
3. Process
4. Legacy modernization
5. Physical AI
6. AI trust",0.8571,0.8818,1.0000,1.0000,Success,
43,"How is Infosys splitting AI productivity gains between itself and its clients, and what does that sharing arrangement imply for future margin trajectory?",NSE >10,data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_002.md,"Infosys is sharing AI productivity gains with its clients, typically passing on benefits ranging from 5% to 15% in AI programs involving disparate systems. This sharing arrangement implies that while Infosys is experiencing improved revenue quality and productivity, it also faces challenges in maintaining margins due to factors such as compensation increases and currency impacts. The overall margin trajectory may be influenced by the balance of these shared productivity gains and the company's ability to manage costs and pricing effectively in a competitive environment.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_002.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-press-conference/group_002.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_009.md,"Infosys is sharing productivity gains from AI and automation with clients, typically passing on some benefits, which implies an improvement in revenue quality and pricing. However, the specific amounts shared with clients are not disclosed. The sharing arrangement suggests that while Infosys is benefiting from productivity improvements, it is also focused on creating greater client impact, which may influence future margin trajectories positively.",1.0000,0.8648,1.0000,0.6667,Success,
